short_word,support,examples
Elu,19,"['Elu-asemele', 'Elu-kvaliteedi', 'Elu-kvaliteet']"
Isa,19,"['Isa-maaliidu', 'Isa-maaliidule', 'Isa-maaliit']"
õpi,19,"['õpi-aeg', 'õpi-tavale', 'õpi-tulemustest']"
Ema,18,"['Ema-jõe', 'Ema-jõge', 'Ema-poeg']"
oja,18,"['Nõmm-oja', 'Põld-oja', 'Tiks-oja']"
ea,17,"['ea-liste', 'pika-ea-soovi', 'pubeka-ea']"
asu,17,"['asu-va', 'asu-va-test', 'asu-vast']"
mis,17,"['ela-mis-loa', 'mis-sa-siia-tuled', 'terroris-mis']"
Era,17,"['Era-investeeringute', 'Era-isikute', 'Era-pangale']"
süü,16,"['süü-pinki', 'süü-tõend', 'süü-tõendid']"
uss,16,"['kahetsuse-uss', 'kahtluse-uss', 'madu-uss']"
tea,16,"['ei-tea-partei', 'tea-de', 'tea-ta-va']"
Jää,16,"['Jää-lõhkuja', 'Jää-ääre', 'Jää-ääres']"
uue,15,"['tutt-uue', 'uue-kooli', 'uue-mate']"
Öö,15,"['Öö-inimesed', 'Öö-päevaringselt', 'Öö-visioon']"
akt,15,"['akt-ettekirjutuse', 'haldus-akt', 'normi-akt']"
ust,14,"['kaitse-ust', 'kassett-ust', 'kempsu-ust']"
ihu,14,"['apelsini-ihu', 'ihu-vaimu', 'vaim-hing-ihu']"
ela,14,"['ela-ma', 'ela-mis-loa', 'ela-nikud']"
net,14,"['Net-net', 'net-iks', 'too-rai-net']"
Aja,14,"['Aja-kirjandus', 'Aja-leht', 'Aja-usaldus']"
iha,14,"['medali-iha', 'puhvertsooni-iha', 'raamatu-iha']"
ööl,14,"['Eurovisiooni-ööl', 'Halloweeni-ööl', 'Kesk-ööl']"
All,14,"['All-järgnevalt', 'All-linnast', 'All-töövõtjate']"
Puu,14,"['Puu-detailid', 'Puu-põllunduse', 'Puu-uurija']"
arv,14,"['Ava-arv', 'arv-näitajate', 'piir-arv']"
rea,13,"['rea-eestlane', 'rea-pealt', 'seikade-rea']"
see,13,"['see-aeg', 'see-juures', 'see-tõttu']"
Mäe,13,"['Mäe-kodus', 'Mäe-meestest', 'Mäe-ots']"
and,13,"['and-meid', 'and-mete', 'and-metel']"
Soo,13,"['Soo-kruusi', 'Soo-me', 'Soo-mest']"
isu,13,"['isu-äratavalt', 'kohvi-isu', 'söögi-isu']"
jaa,13,"['No-jaa', 'jaa-sõnagi', 'jaa-vastus']"
Äri,13,"['Äri-idee', 'Äri-ideid', 'Äri-tööstusotstarbelised']"
ole,13,"['ole-kus-olemisega', 'ole-me', 'ole-tegi']"
äär,13,"['all-äär', 'parem-äär', 'äär-kaitsja']"
ait,13,"['ait-kuivati', 'ait-saun', 'tõllakuur-ait']"
oa,12,"['oa-kalkunisalat', 'oa-tomatikastmes', 'peekoni-sibula-oa']"
sai,12,"['Leib-sai', 'leib-sai', 'sai-võis']"
saa,12,"['saa-ma', 'saa-ma-ta', 'saa-me']"
õrn,12,"['õhk-õrn', 'õrn-anarhistlik', 'õrn-tundlik']"
Esi,12,"['Esi-algne', 'Esi-algsete', 'Esi-algu']"
Ees,12,"['Ees-märgid', 'Ees-märgiks', 'Ees-ootavad']"
Eri,12,"['Eri-korrespondent', 'Eri-olukorra', 'Eri-õppeprogramme']"
tõu,11,"['tõu-kas', 'tõu-keks', 'tõu-su']"
õpe,11,"['klaveri-õpe', 'täiend-õpe', 'välja-õpe']"
sus,11,"['lampjalg-sus', 'pai-sus', 'täht-sus']"
auk,11,"['auk-maja', 'kulla-auk', 'päikese-auk']"
vau,11,"['Vau-vau', 'Vau-vau-vau', 'viu-vau']"
teo,11,"['teo-kraatlik', 'teo-võime', 'teo-võimelist']"
loa,11,"['Töö-loa', 'lepingu-loa', 'loa-omaniku']"
jõe,11,"['jõe-kraavi-oja', 'jõe-teemaline', 'jõe-äärsete']"
jae,11,"['jae-hind', 'jae-mitmuse', 'jae-müügiga']"
õla,11,"['Üle-õla', 'õla-trauma', 'õlg-õla-tundeks']"
duo,11,"['duo-lauvärvi', 'duo-trio', 'eurotantsu-duo']"
osi,10,"['Pea-osi', 'Plast-osi', 'pea-osi']"
ots,10,"['Interneti-ots', 'esi-ots', 'roo-ots']"
Nõu,10,"['Nõu-kogu', 'Nõu-koguga', 'Nõu-kogus']"
õe,10,"['arsti-õe', 'usu-õe', 'õe-arsti']"
Jah,10,"['Jah-liikumine', 'Jah-liikumise', 'Jah-vastustele']"
Aed,10,"['Aed-liivatee', 'Aed-varesjala', 'Aed-varesjalg']"
Oma,10,"['Oma-näoline', 'Oma-valitsus', 'Oma-valitsuste']"
udu,10,"['abstraktsiooni-udu', 'udu-kaid', 'udu-uurijale']"
IDA,10,"['IDA-HARJU', 'IDA-LÄÄS', 'IDA-VIRUMAA']"
uks,10,"['pööningu-uks', 'uks-aken', 'uks-uksepost']"
iks,10,"['Martin-iks', 'Roman-iks', 'iks-taktis']"
ori,10,"['kõhu-ori', 'ori-plaatidel', 'ori-tüvega']"
vii,10,"['vii-maks', 'vii-mast', 'vii-tavad']"
Ava,10,"['Ava-akord', 'Ava-arv', 'Ava-kõnes']"
veo,10,"['veo-autod', 'veo-autodega', 'veo-jõudu']"
lao,10,"['kauplus-lao', 'kontor-lao', 'lao-olmehoone']"
kes,10,"['kes-ees-see-mees', 'kes-kuse', 'väi-kes-te']"
vai,10,"['vai-vai', 'vai-vai-vai', 'vai-vai-vai']"
ah,10,"['Ja-ah', 'ah-ah', 'ah-ah-hüüete']"
toa,9,"['Liisu-toa', 'toa-täie', 'toa-tüdruk']"
Oti,9,"['Oti-aegne', 'Oti-asjaga', 'Oti-sarnast']"
ost,9,"['müük-ost', 'ost-ma', 'ost-müüki']"
uni,9,"['ilu-uni', 'töö-kodu-uni', 'uni-suvi-hommikune']"
üht,9,"['üht-aegu', 'üht-la-selt', 'üht-seks']"
vip,9,"['vip-rõdult', 'vip-teeninduse', 'vip-telgis']"
too,9,"['too-kord', 'too-mine', 'too-te']"
Käo,9,"['Käo-keskuse', 'Käo-kool', 'Käo-sugune']"
müü,9,"['müü-giga', 'müü-mine', 'müü-ristseen']"
Aas,9,"['Aas-põllu', 'Aas-taks', 'Aas-tal']"
ahi,9,"['ahi-küttega', 'põletus-ahi', 'suitsu-ahi']"
oda,9,"['Oda-oda', 'oda-nimelise', 'oda-vaim']"
Moe,9,"['Moe-eelistus', 'Moe-kunstnikke', 'Moe-show']"
kee,9,"['kee-la-ta', 'kee-laks', 'kee-lest']"
sõu,9,"['sõu-etteasteid', 'sõu-spordiga', 'tõsielu-sõu']"
Alt,8,"['Alt-klahviga', 'Alt-käemaksuga', 'Alt-nooleklahvid']"
toi,8,"['toi-me', 'toi-mu', 'toi-mus']"
no,8,"['Vai-no', 'no-jaa', 'no-noh']"
oht,8,"['euro-oht', 'kuriteo-oht', 'ärasöömise-oht']"
Lau,8,"['Lau-päeval', 'Lau-päevasel', 'Lau-päevast']"
Abi,8,"['Abi-elukriis', 'Abi-elurahvas', 'Abi-maile']"
kui,8,"['Nii-kui-nii', 'kui-tahes', 'kui-vast']"
Mao,8,"['Mao-aegsest', 'Mao-järgsetest', 'Mao-sooletrakti']"
puh,8,"['puh-kama', 'puh-kust', 'puh-tast']"
ööd,8,"['töö-ööd', 'tööõhtut-ööd', 'võrkkiige-ööd']"
tai,8,"['tai-hiina', 'tai-inglise', 'tai-poksi']"
eru,8,"['eru-kolonelleitnant', 'eru-spioon', 'eru-sõjaväelased']"
Tõe,8,"['Tõe-näoliseks', 'Tõe-näolisem', 'Tõe-poolest']"
MAA,8,"['MAA-ALALE', 'MAA-ILM', 'MAA-ILMA']"
Ufo,8,"['Ufo-lugudele', 'Ufo-lugudest', 'Ufo-objektidega']"
lae,8,"['lae-kumise', 'lae-kus', 'metall-lae']"
aku,8,"['Aku-aku', 'aku-kere-mootori', 'generaator-aku-tuled']"
See,8,"['See-aeg', 'See-kord', 'See-nimelise']"
ju,8,"['ju-risti', 'ju-tuks', 'ma-ju']"
pai,8,"['Pai-pai', 'pai-sus', 'piu-pai']"
Noa,8,"['Noa-aegse', 'Noa-aegses', 'Noa-alus']"
MAI,8,"['ANNE-MAI', 'EHA-MAI', 'KAI-MAI']"
õun,8,"['õun-kirss-aroonia', 'õun-porgand-spinat', 'õun-tele']"
ale,8,"['ale-sildiga', 'ale-tüüpi', 'nähvits-ale']"
Hea,7,"['Hea-loomuline', 'Hea-muusika', 'Hea-oluühiskonnast']"
lõi,7,"['lõi-kasid', 'lõi-kudes', 'lõi-kusi']"
pae,7,"['pae-kivikoopas', 'pae-platoo', 'pae-sõjale']"
rai,7,"['rai-kuninganna', 'rai-laulja', 'rai-staar']"
org,7,"['Suur-org', 'Uus-org', 'sport-org']"
aus,7,"['aus-alatu', 'aus-tusavaldusena', 'puhas-aus-õiglane']"
Rae,7,"['Rae-koja', 'Rae-platsilt', 'Rae-press']"
Nii,7,"['Nii-nimetatud', 'Nii-viisi', 'Nii-öelda']"
näi,7,"['näi-ta-ma', 'näi-tavad', 'näi-tuste']"
õlg,7,"['õlg-õla', 'õlg-õla-kõrval', 'õlg-õla-tundeks']"
õlu,7,"['laager-õlu', 'meeste-õlu', 'õlu-viin']"
täi,7,"['täi-sealine', 'täi-sealise', 'täi-sealiseks']"
noa,7,"['kahvli-noa', 'noa-tera', 'noa-uksele']"
Üks,7,"['Üks-kõik', 'Üks-küla', 'Üks-olemise']"
eit,7,"['eit-taat', 'kojamehe-eit', 'taat-eit']"
Ego,7,"['Ego-järelmaksukaardid', 'Ego-kaardi', 'Ego-kaardiga']"
ehe,7,"['ehe-haljas', 'kaela-ehe', 'kuld-ehe']"
roo,7,"['roo-ala', 'roo-lõikusest', 'roo-ots']"
arg,7,"['arg-julge', 'arg-püks', 'arg-pükslikkust']"
soe,7,"['soe-külm', 'soe-niiske', 'soe-soe']"
ai,6,"['ai-mu', 'ai-na', 'ai-tas']"
ahv,6,"['Maa-ahv', 'ahv-sõdurit', 'ahv-tähekombinatsiooni']"
Osa,6,"['Osa-täitja', 'Osa-võtjad', 'Osa-üldplaneering']"
lai,6,"['lai-ekraaniga', 'lai-ribaühendus', 'pahameele-lai-net']"
Sea,6,"['Sea-aastal', 'Sea-põrsast', 'Sea-saksa']"
ese,6,"['ese-hoone', 'riide-ese', 'tarbe-ese']"
Une,6,"['Une-eelne', 'Une-nägu', 'Une-ärkveloleku']"
Ise,6,"['Ise-ilutegija', 'Ise-küsimus', 'Ise-seisvuspäev']"
Edu,6,"['Edu-kas', 'Edu-kaupluseketi', 'Edu-keti']"
Luu,6,"['Luu-lihaskonna-vaevused', 'Luu-uurimisest', 'Luu-üdi']"
ega,6,"['koera-ega', 'mees-ega', 'vestlus-ega']"
und,6,"['Ilu-und', 'ilu-und', 'und-ärkvelolekut']"
Või,6,"['Või-malikult', 'Või-mekas', 'Või-või-või']"
viu,6,"['viu-viu', 'viu-viu', 'viu-viu-viu']"
Hoo,6,"['Hoo-aeg', 'Hoo-hoo-hoo', 'Hoo-limata']"
Oja,6,"['Oja-mäe', 'Oja-nimelist', 'Oja-soo']"
toe,6,"['toe-ta', 'toe-tanud', 'toe-tas']"
Aeg,6,"['Aeg-ajalt', 'Aeg-ruum', 'Aeg-tegelane']"
väi,6,"['väi-kes-te', 'väi-kest', 'väi-teid']"
koe,6,"['koe-ensüümi', 'koe-purustuse', 'koe-struktuurid']"
Ei,6,"['Ei-kellegi-maa', 'Ei-no', 'Ei-tea-kust']"
õie,6,"['õie-erakond', 'õie-kroonid', 'õie-küünlad']"
Aru,6,"['Aru-anne', 'Aru-pere', 'Aru-suguse']"
oru,6,"['Aas-oru', 'Kadri-oru', 'Uus-oru']"
Leo,6,"['Leo-ajal', 'Leo-kas-sa', 'Leo-seebid']"
sae,5,"['Partner-sae', 'plastmass-sae', 'tross-sae']"
vea,5,"['vea-olukordi', 'vea-sendi', 'viga-vea-otsa']"
Eht,5,"['Eht-ameerikalikult', 'Eht-britilikult', 'Eht-eestilik']"
õu,5,"['maasika-õu-na-rabarberi', 'õu-konna', 'õu-konnaintriige']"
Oru,5,"['Oru-taoliste', 'Oru-teemalistele', 'Oru-teemalistes']"
kao,5,"['kao-tanud', 'kao-tati', 'kao-tust']"
Ess,5,"['Ess-soos', 'Ess-soosse', 'Ess-soost']"
poo,5,"['maa-poo-la-kas', 'poo-de', 'poo-la-ka-te']"
Jõu,5,"['Jõu-kust', 'Jõu-lust', 'Jõu-luud']"
Ost,5,"['Ost-ja', 'Ost-markasid', 'Ost-müük']"
tal,5,"['aas-tal', 'tal-linlased', 'tal-vine']"
Mai,5,"['Mai-august', 'Mai-laine', 'Mai-sugune']"
käi,5,"['käi-ma', 'käi-tuks', 'õnnis-käi-ringi']"
idu,5,"['kartuli-idu', 'legendi-idu', 'skandaali-idu']"
vöö,5,"['kiviklibu-vöö', 'vöö-alusel', 'vöö-kohta']"
eh,5,"['Eh-eh', 'eh-eh', 'eh-matusest']"
õnn,5,"['sõja-õnn', 'õnn-õnn', 'õnn-õnn']"
üdi,5,"['Luu-üdi', 'luu-üdi', 'üdi-proovidele']"
ehi,5,"['ehi-ta-ja', 'ehi-ta-mast', 'ehi-tas']"
äss,5,"['ringraja-äss', 'trump-äss', 'äss-servi']"
üür,5,"['elekter-üür', 'kuu-üür', 'üür-nikud']"
Jaa,5,"['Jaa-pan', 'Jaa-panist', 'Jaa-sõna']"
päi,5,"['purjus-päi', 'päi-kese', 'päi-kesevalgust']"
äia,5,"['Ämma-äia', 'äia-ämmaga', 'ämma-äia']"
hõi,5,"['hõi-mult', 'hõi-mus', 'hõi-vaks']"
udi,4,"['udi-duo', 'udi-mängu', 'udi-mänguga']"
Kõu,4,"['Kõu-internet', 'Kõu-interneti', 'Kõu-saart']"
rae,4,"['rae-kojamehega', 'rae-kojas', 'rae-plats']"
Jõe,4,"['Jõe-emand', 'Jõe-rüüt', 'Jõe-veer']"
ESS,4,"['ESS-LASTE', 'ESS-lased', 'ESS-lastele']"
emm,4,"['emm-kriipsu', 'emm-tee-jottides', 'emm-tee-jottidest']"
nad,4,"['Va-nad', 'ka-nad', 'va-nad']"
Ase,4,"['Ase-eesistuja', 'Ase-esimees', 'Ase-president']"
Pii,4,"['Pii-ma', 'Pii-piiks', 'Pii-puppiidid']"
Õhk,4,"['Õhk-vesi-tüüpi', 'Õhk-õhk-seadmete', 'Õhk-õhk-tüüpi']"
õle,4,"['õle-inglist', 'õle-jalga', 'õle-tulevärgi']"
kae,4,"['kae-eemaldusoperatsiooni', 'kae-kae', 'kae-kae']"
oh,4,"['Oh-oh', 'oh-oh', 'oh-oo']"
vae,4,"['vae-kausse', 'vae-selt', 'vae-vaga']"
noh,4,"['Ei-noh', 'No-noh', 'ei-noh']"
Net,4,"['Net-kõnedega', 'Net-paketiga', 'Net-tarkvaraga']"
pii,4,"['pii-ma', 'pii-piid', 'pii-saks']"
oo,4,"['Oh-oo', 'oh-oo', 'oo-ta-ma']"
iva,4,"['informatsiooni-iva', 'moraali-iva', 'sinepi-iva']"
nai,4,"['nai-ses', 'nai-sest', 'va-nai-saks']"
pee,4,"['pee-ta', 'pee-ta-va', 'pee-ta-va-te']"
pan,4,"['jaa-pan-la-sest', 'pan-na', 'pan-nakse']"
Ah,4,"['Ah-aa', 'Ah-haa', 'Ah-jaa']"
Aju,4,"['Aju-uuring', 'Aju-uuringud', 'Aju-uuringute']"
aa,4,"['Ah-aa', 'aa-dress', 'ah-aa']"
TEE,4,"['TEE-EHITUS', 'TEE-MAAILMA', 'TEE-lastel']"
Loo,4,"['Loo-laadne', 'Loo-pere', 'Loo-vaks']"
Üht,4,"['Üht-sest', 'Üht-teist', 'Üht-äkki']"
söe,4,"['kivi-söe', 'söe-jõujaamas', 'söe-mees']"
Muu,4,"['Muu-galeriis', 'Muu-hulgas', 'Muu-usuliste']"
Õli,4,"['Õli-küüslaugumarinaad', 'Õli-vees', 'Õli-äädikakastme']"
No,4,"['No-jah', 'No-neh', 'No-noh']"
hai,4,"['hai-kana', 'hai-taolisi', 'trilleri-hai']"
Uni,4,"['Uni-tool', 'Uni-versaal', 'Uni-öösorr']"
aga,4,"['ilm-aga', 'saage-aga', 'tõusuteel-aga']"
Õis,4,"['Õis-mäe', 'Õis-mäed', 'Õis-mäel']"
arm,4,"['Venna-arm', 'suusa-arm', 'trauma-arm']"
äpu,4,"['keeleteadlane-äpu', 'äpu-meest', 'äpu-olemist']"
haa,4,"['Ah-haa', 'ah-haa', 'haa-va-ta']"
ube,4,"['aed-ube', 'kakao-ube', 'põld-ube']"
ike,3,"['kunst-ike', 'sangari-ike', 'terrori-ike']"
UFO,3,"['UFO-HUVI', 'UFO-lase', 'UFO-laste']"
ree,3,"['ree-eksporti', 'ree-ratta', 'ree-sõitu']"
Poo,3,"['Poo-la', 'Poo-las', 'Poo-last']"
IGA,3,"['IGA-AASTANE', 'IGA-AASTASE', 'IGA-AASTASED']"
mh,3,"['Mh-mh', 'mh-mh', 'mh-mh']"
alu,3,"['Rand-alu', 'alu-seks', 'alu-sel']"
Vai,3,"['Vai-kus', 'Vai-no', 'Vai-vai-vai']"
kel,3,"['kel-la', 'kes-kel', 'päh-kel']"
ämm,3,"['Ema-ämm', 'Mämm-ämm', 'ämm-äi']"
Aia,3,"['Aia-augu', 'Aia-maale', 'Aia-nimelist']"
es,3,"['es-kaadrisse', 'luu-es', 'vestlus-es']"
ena,3,"['ena-masti', 'ena-matel', 'ena-mus']"
Õhu,3,"['Õhu-inimene', 'Õhu-kolmnurga', 'Õhu-väe']"
Va,3,"['Va-na', 'Va-nad', 'Va-nemad']"
II,3,"['I-II', 'II-I', 'II-VI']"
Käe,3,"['Käe-jala', 'Käe-jalaluud', 'Käe-randmete']"
öid,3,"['halla-öid', 'karaoke-öid', 'luupainaja-öid']"
Ilu,3,"['Ilu-trükikoja', 'Ilu-uisutaja', 'Ilu-und']"
õud,3,"['karaoke-õud', 'õud-seksika', 'õud-soodsaid']"
Vii,3,"['Vii-ma-sel', 'Vii-maks', 'Vii-mast']"
