token,vabamorf,is_pronoun
ENDASSE,True,True
ENDAST,True,True
ENDI,True,True
ENESE,True,True
ENESELE,True,True
ENESESSE,True,True
ENESEST,True,True
ENESTE,True,True
ENESTES,True,True
ENNAST,True,True
ESIMENE,True,True
ESIMESE,True,True
ESIMESED,True,True
ESIMESEGA,True,True
ESIMESEKS,True,True
ESIMESEL,True,True
ESIMESELE,True,True
ESIMESENA,True,True
ESIMESES,True,True
ESIMESEST,True,True
ESIMESI,True,True
ESIMESSE,True,True
ESIMEST,True,True
ESIMESTE,True,True
ESIMESTEST,True,True
Ebola-taolise,True,False
Ee-ma,True,False
Eel-kõige,True,False
Eenmaa-taolised,True,False
Eesti-Soo-me,True,False
Eesti-ma,True,False
Eesti-omast,True,False
Eesti-taoline,True,False
Eesti-taolise,True,False
Eesti-taolised,True,False
Eesti-taoliseks,True,False
Eesti-taolisel,True,False
Eesti-taolisele,True,False
Eesti-taoliselt,True,False
Eesti-taolises,True,False
Eesti-taolisesse,True,False
Eesti-taolist,True,False
Eesti-taoliste,True,False
Eesti-taolistel,True,False
Eesti-taolistele,True,False
Eesti-taolistes,True,False
Eesti-taolistest,True,False
Eestlane-kes,True,False
Egiptuse-ma,True,False
Ehitajateks-oma,True,False
Ehitustööriis-tast,True,False
Ehk-meid,True,True
Ei-see-ega-teine,True,False
Ei-tea-kelle,True,True
Eikedagi,True,True
Eikeegi,True,True
Eikellegagi,True,True
Eikellegi,True,True
Eikellelegi,True,True
Eimidagi,True,True
Eimillegi,True,True
Eimillestki,True,True
Eimiski,True,True
Eks-te,True,False
Elektrijaam-Energiamüük-Soojusvõrk-ME,True,False
Elva-taolisse,True,False
Emb-kumb,True,True
Emba-kumba,True,True
Emma-kumma,True,True
Emmal-kummal,True,True
En-dal,False,True
End,True,True
End-i,False,True
End-is,False,True
Enda,True,True
Endaga,True,True
Endagi,True,True
Endaks,True,True
Endal,True,True
Endale,True,True
Endalegi,True,True
Endalgi,True,True
Endalt,True,True
Endas,True,True
Endasse,True,True
Endast,True,True
Endastki,True,True
Endi,True,True
Endid,True,True
Endiga,True,True
Endiks,True,True
Endil,True,True
Endile,True,True
Endilegi,True,True
Endilt,True,True
Endina,True,True
Endis,True,True
Endis-,True,True
Endisse,True,True
Endist,True,True
Enese,True,True
Enese-,True,True
Enesega,True,True
Enesegi,True,True
Eneseks,True,True
Enesel,True,True
Enesele,True,True
Eneselegi,True,True
Eneselgi,True,True
Eneselt,True,True
Eneses,True,True
Enesesse,True,True
Enesest,True,True
Enesestki,True,True
Eneste,True,True
Ennast,True,True
Ennastki,True,True
Enne-kõike,True,False
Eras-mus,True,False
Ericu-taolise,True,False
Eripruul-selle,True,False
Esi-me-ne,False,True
Esi-me-se,False,True
Esi-me-sed,False,True
Esi-me-sel,True,False
Esi-me-si,False,True
Esi-mene,False,True
Esi-mes-tel,False,True
Esi-mese,False,True
Esi-mesed,False,True
Esi-mesel,False,True
Esime-ne,False,True
Esime-sed,False,True
Esime-sel,False,True
Esime-sena,False,True
Esimene,True,True
Esimene-teine,True,True
Esimenegi,True,True
Esimes-se,False,True
Esimese,True,True
Esimese-teise,True,True
Esimesed,True,True
Esimesega,True,True
Esimesegi,True,True
Esimeseks,True,True
Esimesel,True,True
Esimesel-teisel,True,True
Esimesele,True,True
Esimeselt,True,True
Esimesena,True,True
Esimeses,True,True
Esimeses-teises,True,True
Esimesesse,True,True
Esimesest,True,True
Esimesi,True,True
Esimesi-,True,True
Esimesil,True,True
Esimesse,True,True
Esimesse-teise,True,True
Esimest,True,True
Esimest-teist,True,True
Esimeste,True,True
Esimestega,True,True
Esimesteks,True,True
Esimestel,True,True
Esimestele,True,True
Esimestelt,True,True
Esimestena,True,True
Esimestes,True,True
Esimestesse,True,True
Esimestest,True,True
Esiteks-me,True,False
Estonia-nende,True,False
Estonia-taolise,True,False
Estonia-taolisi,True,False
Euroopa-teile,True,False
Eurospordi-taolise,True,False
F-16-te,True,False
F-üks,True,False
Flora-taolisel,True,False
G-ma,True,False
GP-iga,True,False
Geenivaramu-taolist,True,False
Gorbatšovi-taolised,True,False
Gorbatšovi-taoliste,True,False
Gruusia-taolisi,True,False
Gruusia-taolist,True,False
HF-ta,True,False
HTML-ta,True,False
Haiti-taolises,True,False
Hakatu-seks,True,False
Hansapanga-Hoiupanga-taolisest,True,False
Heinamaa-taolised,True,False
Helsingi-taolise,True,False
Hiina-taolisele,True,False
Hiina-taoliste,True,False
Hindi-taoline,True,False
Hirvepargi-taolisi,True,False
Hispaania-taolise,True,False
Hollandi-taolises,True,False
Hollywoodi-taoline,True,False
Horvaatia-taolist,True,False
Hüvitusfondi-taolises,True,False
Hüüa-me,True,False
I-ga,False,True
I-iga,True,False
I-s-e,False,True
I-se,False,True
I-selt,True,False
I-te,True,False
IBMi-taoliste,True,False
IGA,True,True
IGAKS,True,True
IGAL,True,True
IGALE,True,True
IGALT,True,True
IGAS,True,True
IGASSE,True,True
IGAST,True,True
IGASUGUNE,True,True
IGASUGUNEGI,True,True
IGASUGUSE,True,True
IGASUGUSED,True,True
IGASUGUSEID,True,True
IGASUGUSEST,True,True
IGASUGUSTE,True,True
IGASUGUSTEST,True,True
IGAT,True,True
IGAÜHE,True,True
IGAÜHEL,True,True
IGAÜHELE,True,True
IGAÜHT,True,True
IGAÜKS,True,True
II-te,True,False
ISE,True,True
ISE-enesest,True,False
ISEEND,True,True
ISEENDA,True,True
ISEENDAGA,True,True
ISEENDAKS,True,True
ISEENDALE,True,True
ISEENDANA,True,True
ISEENDASSE,True,True
ISEENESE,True,True
ISEENESES,True,True
ISEENESEST,True,True
ISEENESESTKI,True,True
ISEENESTES,True,True
ISEENNAST,True,True
Iga,True,True
Iga-,True,True
Iga-ühe,True,True
Iga-ühega,True,True
Iga-ühel,True,False
Iga-ühele,True,False
Iga-üks,True,True
Igagi,True,True
Igaks,True,True
Igal,True,True
Igal-,True,True
Igale,True,True
Igalt,True,True
Igas,True,True
Igasse,True,True
Igast,True,True
Igasugune,True,True
Igasugunegi,True,True
Igasuguse,True,True
Igasugused,True,True
Igasuguseid,True,True
Igasuguseil,True,True
Igasuguseks,True,True
Igasugusel,True,True
Igasugusele,True,True
Igasuguselt,True,True
Igasugusena,True,True
Igasuguses,True,True
Igasugusesse,True,True
Igasugusest,True,True
Igasugust,True,True
Igasuguste,True,True
Igasugusteks,True,True
Igasugustel,True,True
Igasugustele,True,True
Igasugustelt,True,True
Igasugustes,True,True
Igasugustesse,True,True
Igasugustest,True,True
Igat,True,True
Igaühe,True,True
Igaühega,True,True
Igaühel,True,True
Igaühele,True,True
Igaühelt,True,True
Igaüheni,True,True
Igaühes,True,True
Igaühesse,True,True
Igaühest,True,True
Igaüht,True,True
Igaühte,True,True
Igaüks,True,True
Ilm-selt,True,False
Ilvese-taolist,True,False
India-taolise,True,False
India-taoliste,True,False
Indiana-taolist,True,False
Indoneesia-taolised,True,False
Indreku-taolist,True,False
Inglismaa-taolistele,True,False
Interneti-taolist,True,False
Iraagi-taoline,True,False
Iraagi-taolisele,True,False
Iraagi-taolisi,True,False
Iraagi-taolistest,True,False
Iraani-taoliste,True,False
Iraani-taolistele,True,False
Irene-mingisugune,True,False
Ise,True,True
Ise-,True,True
Ise-enda,True,False
Ise-endaga,True,False
Ise-enesest,True,False
Ise-ennast,True,False
Ise-ise,True,True
Isee-ne-sest,False,True
Iseend,True,True
Iseenda,True,True
Iseendaga,True,True
Iseendagi,True,True
Iseendaks,True,True
Iseendal,True,True
Iseendale,True,True
Iseendalegi,True,True
Iseendalt,True,True
Iseendana,True,True
Iseendas,True,True
Iseendasse,True,True
Iseendast,True,True
Iseendastki,True,True
Iseendi,True,True
Iseendid,True,True
Iseenese,True,True
Iseeneseks,True,True
Iseenesele,True,True
Iseeneselegi,True,True
Iseeneses,True,True
Iseenesesse,True,True
Iseenesest,True,True
Iseenesestki,True,True
Iseeneste,True,True
Iseenestest,True,True
Iseennast,True,True
Iseennastki,True,True
Isesugune,True,True
Isesuguse,True,True
Isesugused,True,True
Isesuguseks,True,True
Isesugusel,True,True
Isesugustes,True,True
Itaalia-taolisel,True,False
Jahve-taoline,True,False
Jakobsoni-taolist,True,False
Jalta-taolist,True,False
Johni-taolisi,True,False
Jook-sul,True,False
Joona-sesse,True,False
Juht-meid,True,False
Juku-taoliste,True,False
Jupiteri-taolised,True,False
Jupiteri-taolist,True,False
Jupiteri-taoliste,True,False
Jäägrikompanii-taolist,True,False
Jürgeni-taolisel,True,False
Jürgensoni-taolisele,True,False
Jürgensoni-taolistele,True,False
K-kes,True,False
KARJU-MUL,True,False
KEBAB-kellele,True,False
KEDA,True,True
KEDAGI,True,True
KEEGI,True,True
KEEL-MINU,True,False
KEL,True,True
KEL-LELGI,False,True
KELLE,True,True
KELLEGA,True,True
KELLEGAGI,True,True
KELLEGI,True,True
KELLEKS,True,True
KELLEL,True,True
KELLELE,True,True
KELLELEGI,True,True
KELLELT,True,True
KELLESSE,True,True
KELLEST,True,True
KELT,True,True
KES,True,True
KESKI,True,True
KUMB,True,True
KUMBA,True,True
KUMBKI,True,True
KUMMAL,True,True
KUMMALGI,True,True
KUMMAST,True,True
Ka-su,True,False
Kaasiku-taolise,True,False
Kabala-taoliste,True,False
Kaheksa-üks,True,False
Kaitseliidu-taolisi,True,False
Kaks-ühe,True,False
Kaks-üks,True,False
Kalevi-taolise,True,False
Kallase-taolisele,True,False
Kamee-taolist,True,False
Kapsaraua-taolise,True,False
Kapteni-taolised,True,False
Karikatuuri-taoliste,True,False
Karistamatu-sest,True,False
Kasahstani-taolist,True,False
Kasahstani-taoliste,True,False
Katrini-taolise,True,False
Ke-da,False,True
Keda,True,True
Keda-mida,True,True
Kedagi,True,True
Kedagi-midagi,True,True
Kee-gi,False,True
Keegi,True,True
Keegigi,True,True
Kel,True,True
Kel-Kel,False,True
Kel-lelgi,False,True
Kelgi,True,True
Kelle,True,True
Kellede,True,True
Kelledeks,True,True
Kellega,True,True
Kellegagi,True,True
Kellegi,True,True
Kelleks,True,True
Kellekski,True,True
Kellel,True,True
Kellele,True,True
Kellelegi,True,True
Kellelgi,True,True
Kellelt,True,True
Kelleltki,True,True
Kellena,True,True
Kelleni,True,True
Kelles,True,True
Kelleski,True,True
Kellesse,True,True
Kellest,True,True
Kellestki,True,True
Kelleta,True,True
Kelt,True,True
Kentauri-taolisest,True,False
Kes,True,True
Kes-,True,True
Kes-keda,True,False
Kes-kes,True,True
Kesk-i,False,True
Kesk-sest,True,False
Keskerakonna-taoline,True,False
Keski,True,True
Keskuse-taoliste,True,False
Kii-su,True,False
Kiviteri-taolise,True,False
Kiviõli-taolise,True,False
Klaassepa-taoliste,True,False
Klaipeda-taolises,True,False
Klenski-taolised,True,False
Kodukaitse-taolise,True,False
Kohtla-Järve-taolises,True,False
Kolla-taolised,True,False
Kolm-teist,True,False
Kolm-üks,True,False
Koluvere-taoline,True,False
Koluvere-taolisesse,True,False
Konkurentsivõi-me,True,False
Koos-tas,True,False
Kosovo-taolised,True,False
Kosovo-taoliste,True,False
Kotka-taolisele,True,False
Krimmi-taolist,True,False
Kroonika-taoliste,True,False
Kroonika-taolistele,True,False
Kruusi-taolise,True,False
Kuli-taoliste,True,False
Kum-ma,False,True
Kumb,True,True
Kumb-ki,False,True
Kumb-kummale,True,False
Kumba,True,True
Kumbade,True,True
Kumbagi,True,True
Kumbi,True,True
Kumbki,True,True
Kumma,True,True
Kummad,True,True
Kummaga,True,True
Kummagagi,True,True
Kummagi,True,True
Kummaks,True,True
Kummal,True,True
Kummale,True,True
Kummalegi,True,True
Kummalgi,True,True
Kummalt,True,True
Kummaltki,True,True
Kummana,True,True
Kummas,True,True
Kummaski,True,True
Kummasse,True,True
Kummassegi,True,True
Kummast,True,True
Kummastki,True,True
Kurat-teab-mida,True,True
Kurat-teab-mis,True,True
Kuressaare-tal,True,False
Kurkse-taolised,True,False
Kuu-taolisena,True,False
Kuuba-taolise,True,False
Kuusmaa-taolise,True,False
KÕIGE,True,True
KÕIGEGA,True,True
KÕIGEL,True,True
KÕIGELE,True,True
KÕIGES,True,True
KÕIGEST,True,True
KÕIGI,True,True
KÕIGIGA,True,True
KÕIGIL,True,True
KÕIGILE,True,True
KÕIGIS,True,True
KÕIGIST,True,True
KÕIK,True,True
KÕIKE,True,True
KÕIKI,True,True
KÕIKIDE,True,True
KÕIKIDEL,True,True
KÕIKIDELE,True,True
KÕIKIDES,True,True
KÕIKIDEST,True,True
Käärmanni-taolisi,True,False
Kõi-ge,False,True
Kõi-geks,False,True
Kõi-gel,False,True
Kõi-ges,False,True
Kõi-gest,False,True
Kõi-gi,False,True
Kõi-gile,False,True
Kõige,True,True
Kõige-kõige,True,True
Kõige-kõigest,True,False
Kõigega,True,True
Kõigeks,True,True
Kõigel,True,True
Kõigele,True,True
Kõigelt,True,True
Kõigena,True,True
Kõiges,True,True
Kõigesse,True,True
Kõigest,True,True
Kõigi,True,True
Kõigiga,True,True
Kõigiks,True,True
Kõigil,True,True
Kõigile,True,True
Kõigilt,True,True
Kõigini,True,True
Kõigis,True,True
Kõigisse,True,True
Kõigist,True,True
Kõik,True,True
Kõik-eimiski,True,True
Kõik-kõik,True,True
Kõik-kõik-kõik,True,True
Kõik-sus,True,False
Kõike,True,True
Kõiki,True,True
Kõiki-de,False,True
Kõikide,True,True
Kõikidega,True,True
Kõikideks,True,True
Kõikidel,True,True
Kõikidele,True,True
Kõikidelt,True,True
Kõikides,True,True
Kõikidesse,True,True
Kõikidest,True,True
Kõikki,True,True
Kõrge-te,True,False
Kõrgelaiu-taoline,True,False
Kõutsi-taoline,True,False
Küprose-taoline,True,False
Küsi-mus,True,False
LOOTMA-SEE,True,False
LX-iga,True,False
Lagle-taolised,True,False
Lai-neid,True,False
Laid-ma,True,False
Laine-taolisi,True,False
Lapsed-kas-te-,True,False
Lasnamäe-taolise,True,False
Lasnamäe-taolised,True,False
Lasnamäe-taolises,True,False
Lasnamäe-taolisi,True,False
Lasnamäe-taolisse,True,False
Lasnamäe-taolistes,True,False
Lasnamäe-taolistest,True,False
Lau-ma,True,False
Leedu-taoliste,True,False
Leevaku-taolised,True,False
Legendi-taolistesse,True,False
Lenin-tema,True,False
Leo-kas-sa,True,False
Leo-kus-sa,True,False
Leo-mis-sa,True,False
Lepa-taoliste,True,False
Lepsi-taolisi,True,False
Lible-taolist,True,False
Liht-sa,True,False
Lii-sa,True,False
Liisi-taoline,True,False
Liivranna-taolisi,True,False
Lindista-me,True,False
Linnahalli-taolist,True,False
Linnavõi-mu,True,False
Londoni-taolises,True,False
Looda-me,True,False
Lorentsi-taolised,True,False
Luksemburgi-taoliseks,True,False
Läti-mitmeid,True,False
Läti-taolistele,True,False
Lääne-taoliseks,True,False
Lõhmuse-taoline,True,False
Lõuna-India-ma,True,False
Lükka-mind-tõmban-sind,True,False
M-I-D-A-G-I,False,True
M-I-N-U,False,True
M-I-T-M-E-S-U-G-U-S-T,False,True
M-e,False,True
M-i-l-l-e,False,True
M-il,False,True
M-ilt,False,True
M-ina,False,True
M-is,False,True
M-m-m-me,True,False
M-ma,True,False
M-me,True,False
M-minu,True,False
M-mis,True,False
M-mul,True,False
MA,True,True
MARI-üks,True,False
MB-sest,True,False
ME,True,True
ME-,True,True
MEID,True,True
MEIE,True,True
MEIE-NEMAD,True,True
MEIE-TEIE,True,True
MEIEGA,True,True
MEIEGI,True,True
MEIENI,True,True
MEIETA,True,True
MEIL,True,True
MEILE,True,True
MEILEGI,True,True
MEILGI,True,True
MEILT,True,True
MEIS,True,True
MEIST,True,True
MI-DA-GI,False,True
MIDA,True,True
MIDA-taolist,False,True
MIDAGI,True,True
MIKS-selles,True,False
MIL,True,True
MILLE,True,True
MILLEDE,True,True
MILLEGA,True,True
MILLEGI,True,True
MILLEKS,True,True
MILLEKSKI,True,True
MILLEL,True,True
MILLELE,True,True
MILLELGI,True,True
MILLES,True,True
MILLESKI,True,True
MILLEST,True,True
MILLINE,True,True
MILLISE,True,True
MILLISED,True,True
MILLISEID,True,True
MILLISEKS,True,True
MILLISELE,True,True
MILLISENA,True,True
MILLISES,True,True
MILLISEST,True,True
MILLIST,True,True
MILLISTE,True,True
MILLISTELE,True,True
MINA,True,True
MINAGI,True,True
MIND,True,True
MINGEID,True,True
MINGI,True,True
MINGID,True,True
MINGIL,True,True
MINGILE,True,True
MINGIST,True,True
MINGISUGUSEGI,True,True
MINGISUGUST,True,True
MINGIT,True,True
MINGITE,True,True
MINGITEL,True,True
MINGITELE,True,True
MINU,True,True
MINUGA,True,True
MINUGI,True,True
MINUL,True,True
MINULE,True,True
MINULGI,True,True
MINULT,True,True
MINUS,True,True
MINUST,True,True
MINUTA,True,True
MIS,True,True
MISKI,True,True
MISSUGUNE,True,True
MISSUGUSED,True,True
MISSUGUSES,True,True
MISSUGUST,True,True
MISSUGUSTES,True,True
MITME,True,True
MITMED,True,True
MITMEID,True,True
MITMEL,True,True
MITMELE,True,True
MITMELGI,True,True
MITMELT,True,True
MITMENDA,True,True
MITMES,True,True
MITMEST,True,True
MITMESUGUSED,True,True
MITMESUGUSEID,True,True
MITMESUGUST,True,True
MITMESUGUSTE,True,True
MITU,True,True
MITUT,True,True
MSN-ta,True,False
MU,True,True
MUID,True,True
MUIDKI,True,True
MUL,True,True
MULGI,True,True
MULLE,True,True
MULT,True,True
MUS,True,True
MUST,True,True
MUU,True,True
MUUD,True,True
MUUDE,True,True
MUUDEL,True,True
MUUDES,True,True
MUUDESSE,True,True
MUUDETA,True,True
MUUGA,True,True
MUULE,True,True
MUUS,True,True
MUUST,True,True
MUUTA,True,True
MV-te,True,False
MX-5-te,True,False
Ma,True,True
Ma-,True,True
Ma-ma,True,True
Ma-ma-ma,True,True
Maa-sel,True,False
Maa-taolise,True,False
Maa-taolisi,True,False
Maa-taoliste,True,False
Maa-taolistele,True,False
Maailmanäitu-sest,True,False
Maapanga-taolise,True,False
Maapanga-taoliste,True,False
Maarja-taolist,True,False
Madridi-taolise,True,False
Magi,True,True
Maksimaal-selt,True,False
Maksimarketi-taoline,True,False
Malta-taolised,True,False
Manhattani-taoliste,True,False
Manni-taolise,True,False
Marcuse-taolist,True,False
Mare-taolise,True,False
Mareki-taolistel,True,False
Martini-taoline,True,False
Mary-taolisi,True,False
Masingu-taolisi,True,False
Masingu-taolistele,True,False
Me,True,True
Me-,True,True
Me-meie,True,True
Meelaku-taolised,True,False
Megi,True,True
Mehhiko-taoline,True,False
Meid,True,True
Meidki,True,True
Meie,True,True
Meie-,True,True
Meie-ga,False,True
Meiega,True,True
Meiegagi,True,True
Meiegi,True,True
Meiena,True,True
Meieni,True,True
Meiesugune,True,True
Meiesuguse,True,True
Meiesugused,True,True
Meiesuguseid,True,True
Meiesugusel,True,True
Meiesugusele,True,True
Meiesuguste,True,True
Meiesugustel,True,True
Meiesugustele,True,True
Meiesugustest,True,True
Meiesugusteta,True,True
Meieta,True,True
Meietaoline,True,True
Meietaolised,True,True
Meiks,True,True
Meil,True,True
Meile,True,True
Meilegi,True,True
Meilgi,True,True
Meilt,True,True
Meis,True,True
Meisse,True,True
Meist,True,True
Meri-taoline,True,False
Metsamaa-taolistel,True,False
Mi-da,False,True
Mi-da-gi,False,True
Mi-dagi,False,True
Mi-na,False,True
Mi-nu,False,True
Mi-nu-le,False,True
Mi-tu,False,True
Mia-mis,True,False
Mida,True,True
Mida-keda,True,True
Mida-mida,True,True
Midagi,True,True
Midagigi,True,True
Mihuke,True,True
Mihukese,True,True
Mihukesed,True,True
Mihukesele,True,True
Mihukeselt,True,True
Mil,True,True
Mil-,True,True
Mil-Mil,False,True
Mil-leks,False,True
Mil-line,False,True
Mil-lised,False,True
Milgi,True,True
Mille,True,True
Millede,True,True
Millega,True,True
Millegagi,True,True
Millegi,True,True
Milleks,True,True
Millekski,True,True
Millel,True,True
Millele,True,True
Millelegi,True,True
Millelgi,True,True
Millelt,True,True
Millena,True,True
Millenagi,True,True
Milleni,True,True
Milles,True,True
Milleski,True,True
Millesse,True,True
Millessegi,True,True
Millest,True,True
Millest-kellest,True,True
Millestki,True,True
Milleta,True,True
Milline,True,True
Millise,True,True
Millised,True,True
Millisega,True,True
Milliseid,True,True
Milliseile,True,True
Milliseis,True,True
Milliseks,True,True
Millisel,True,True
Millisele,True,True
Milliselt,True,True
Millisena,True,True
Millises,True,True
Millisesse,True,True
Millisest,True,True
Millist,True,True
Milliste,True,True
Millistega,True,True
Millisteks,True,True
Millistel,True,True
Millistele,True,True
Millistelt,True,True
Millistena,True,True
Millistes,True,True
Millistesse,True,True
Millistest,True,True
Milt,True,True
Min-geid,False,True
Min-gi,False,True
Mina,True,True
Mina-,True,True
Mina-Meie,False,True
Mina-See,False,True
Mina-Sina,False,True
Mina-mina-mina,True,True
Mina-sina,True,True
Minagi,True,True
Mind,True,True
Mindki,True,True
Ming-i,False,True
Mingeid,True,True
Mingi,True,True
Mingid,True,True
Mingidki,True,True
Mingiga,True,True
Mingigi,True,True
Mingiks,True,True
Mingikski,True,True
Mingil,True,True
Mingile,True,True
Mingilgi,True,True
Mingilt,True,True
Mingis,True,True
Mingisse,True,True
Mingist,True,True
Mingisugune,True,True
Mingisugunegi,True,True
Mingisuguse,True,True
Mingisugused,True,True
Mingisugusegi,True,True
Mingisuguseid,True,True
Mingisuguseidki,True,True
Mingisuguseks,True,True
Mingisugusel,True,True
Mingisugusele,True,True
Mingisuguses,True,True
Mingisugusest,True,True
Mingisugust,True,True
Mingisuguste,True,True
Mingisugustel,True,True
Mingisugustele,True,True
Mingisugustes,True,True
Mingisugustesse,True,True
Mingisugustest,True,True
Mingisugustki,True,True
Mingit,True,True
Mingite,True,True
Mingiteks,True,True
Mingitel,True,True
Mingitele,True,True
Mingites,True,True
Mingitesse,True,True
Mingitest,True,True
Mingitki,True,True
Mini-me,True,False
Minu,True,True
Minu-Sinu-Tema,False,True
Minuga,True,True
Minugagi,True,True
Minugi,True,True
Minuks,True,True
Minul,True,True
Minule,True,True
Minulegi,True,True
Minulgi,True,True
Minult,True,True
Minultki,True,True
Minuni,True,True
Minus,True,True
Minuski,True,True
Minusse,True,True
Minust,True,True
Minustki,True,True
Minusugune,True,True
Minusuguse,True,True
Minusugused,True,True
Minusuguseid,True,True
Minusugusel,True,True
Minusugusele,True,True
Minusuguses,True,True
Minusugust,True,True
Minusuguste,True,True
Minusugustel,True,True
Minusugustele,True,True
Minusugustest,True,True
Minuta,True,True
Minutagi,True,True
Minutaoline,True,True
Minutaolisi,True,True
Mis,True,True
Mis-Mis,False,True
Mis-mis,True,True
Miski,True,True
Miskisugune,True,True
Miskisuguse,True,True
Miskisugused,True,True
Miskisugusel,True,True
Missugune,True,True
