original, vabamorf
kolm-kaks-üks, kolm-kak-süks
kon-sul-tat-sioo-ni-fir-ma, kon-sul-tat-si-oo-ni-fir-ma
kon-sul-tat-sioo-ni-ta-su, kon-sul-tat-si-oo-ni-ta-su
kon-sul-tat-sioo-ni-ta-sust, kon-sul-tat-si-oo-ni-ta-sust
krt-teab-mis, krtteab-mis
käi-mis-, käi-mis
kõik-on-üks, kõi-ko-nüks
küla-ke-ses, kü-la-ke-ses
küla-va-he-teid, kü-la-va-he-teid
las-te-, las-te
li-gilä-he-da-selt, li-gi-lä-he-da-selt
loo-ma-, loo-ma
loo-mupä-ra-selt, loo-mu-pä-ra-selt
ma-ei-tea-kes, mae-i-tea-kes
ma-ei-tea-mida, mae-i-tea-mi-da
ma-ei-tea-mis, mae-i-tea-mis
mak-su-, mak-su
met-sa-, met-sa
mih-mih-mina, mih-mih-mi-na
mina-ei-tea-mis, mi-nae-i-tea-mis
mina-mina-mina, mi-na-mi-na-mi-na
mina-sina-teie, mi-na-si-na-tei-e
mine-tea-mis, mi-ne-tea-mis
mine-tea-veel-mis, mi-ne-tea-veel-mis
mis-on-mis, mi-son-mis
mitu-asja-ühes, mi-tuas-jaü-hes
mitu-mitu-mitu, mi-tu-mi-tu-mi-tu
mõju-ta-ma, mõ-ju-ta-ma
mõru-soo-la-seks, mõ-ru-soo-la-seks
nii-ja-nii-mitu, nii-ja-nii-mi-tu
oda-va-ma, o-da-va-ma
ole-mi-sest, o-le-mi-sest
oled-nagu-mina, o-led-na-gu-mi-na
olu-li-seks, o-lu-li-seks
olu-li-selt, o-lu-li-selt
olu-li-sest, o-lu-li-sest
olu-li-sust, o-lu-li-sust
oma-va-lit-su-sel, o-ma-va-lit-su-sel
oma-va-lit-su-ses, o-ma-va-lit-su-ses
oman-da-ma, o-man-da-ma
oman-da-mi-sel, o-man-da-mi-sel
oman-äo-li-seks, o-ma-näo-li-seks
osa-li-seks, o-sa-li-seks
osa-li-selt, o-sa-li-selt
pala-tala-ta, pa-la-ta-la-ta
põhi-li-selt, põ-hi-li-selt
rari-teet-sus, ra-ri-teet-sus
sea-du-set-äit-mi-sest, sea-du-se-täit-mi-sest
seda-ja-seda, se-da-ja-se-da
seda-ning-seda, se-da-ning-se-da
see-pole-see, see-po-le-see
sina-sina-sina, si-na-si-na-si-na
sini-must-, si-ni-must
sinu-minu-meie, si-nu-mi-nu-mei-e
st-ra-tee-gi-li-seks, stra-tee-gi-li-seks
st-ra-tee-gi-li-selt, stra-tee-gi-li-selt
st-ra-tee-gi-li-sest, stra-tee-gi-li-sest
sti-pen-diu-me, sti-pen-di-u-me
suu-repä-ra-selt, suu-re-pä-ra-selt
ta-vapä-ra-selt, ta-va-pä-ra-selt
ta-vapä-ra-sest, ta-va-pä-ra-sest
tai-me-, tai-me
tal-vi-tu-mis-, tal-vi-tu-mis
te-e-ma, tee-ma
tea-seda-kõik, tea-se-da-kõik
teab-veel-mida, teab-veel-mi-da
tee-seda-ei-tea-mida, tee-se-dae-i-tea-mi-da
ter-ri-too-riu-mil, ter-ri-too-ri-u-mil
tes-ti-mis-, tes-ti-mis
tont-teab-mida, tont-teab-mi-da
toot-mis-, toot-mis
tõen-äo-li-selt, tõe-näo-li-selt
tõsi-du-sest, tõ-si-du-sest
tõu-su-, tõu-su
ula-tu-ses, u-la-tu-ses
um-tsa-sa, umt-sa-sa
v.l.-gi-mida, v.l.gi-mi-da
vii-sa-, vii-sa
või-mu-, või-mu
äri-kor-ral-du-ses, ä-ri-kor-ral-du-ses
äria-ja-mi-seks, ä-ri-a-ja-mi-seks
õhu-mak-su, õ-hu-mak-su
õli-toot-mi-ses, õ-li-toot-mi-ses
õppe-mak-su, õp-pe-mak-su
õppe-mak-sust, õp-pe-mak-sust
õppi-mi-seks, õp-pi-mi-seks
õppi-mi-sest, õp-pi-mi-sest
õppi-mis-, õp-pi-mis
öko-loo-gi-li-seks, ö-ko-loo-gi-li-seks
öko-loo-gi-li-selt, ö-ko-loo-gi-li-selt
öko-loo-gi-li-sest, ö-ko-loo-gi-li-sest
ühek-sa-aas-tast, ü-hek-saaas-tast
ühi-ne-ma, ü-hi-ne-ma
ühi-ne-mi-sel, ü-hi-ne-mi-sel
ühi-ne-mi-sest, ü-hi-ne-mi-sest
ühi-se-la-mus, ü-hi-se-la-mus
üht-ja-sama, üht-ja-sa-ma
üks-ja-sama, üks-ja-sa-ma
ülal-pi-da-mi-sel, ü-lal-pi-da-mi-sel
üle-eel-mi-sel, ü-leeel-mi-sel
üle-ta-me, ü-le-ta-me
üli-kee-ru-li-seks, ü-li-kee-ru-li-seks
üli-sood-sa, ü-li-sood-sa
